"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth","qc_flag"
"242","P009","","","Dunda (Mbarali District), Kipumbwi and Saadani (Pangani District), Sudi (Lindi Region), Zingibari (Tanga Region), Kunduchi, and Tanga, Mainland Tanzania","Tanzania","farming system-fish","Fisheries management infrastructure","Establishment of five BMU offices, a wet laboratory within TAFIRI in Kunduchi analyzing fish and water quality parameters, and staff accommodation for the Tanga Coelacanth Marine Park","Insufficient post-harvest and management infrastructure constrained the fisheries sector","community","Seven infrastructures operational in Mainland Tanzania: five BMU offices, the TAFIRI wet laboratory in Kunduchi, and Tanga Coelacanth Marine Park staff accommodation","7","","operational fisheries management infrastructures","output","Intermediate results indicator monitoring; ICR author's site visits","2","infrastructure deliverable - check result_level is output"
"243","P009","","","Nungwi and Malindi landing site (Unguja), Tumbe (Pemba), Maruhubi, and nine ranger post sites, Zanzibar, Tanzania","Tanzania","farming system-fish","Fisheries markets, cold chain, and surveillance infrastructure","Rehabilitation of Nungwi and Tumbe fish markets; ice igloos and ice plant supply; cold rooms at Malindi landing site; construction of nine ranger surveillance posts/field offices; MBEF building refurbishment","Insufficient post-harvest infrastructure; need for surveillance capacity in marine conservation areas","community","13 investments operational in Zanzibar, including rehabilitated Nungwi fish market, rehabilitated Tumbe fish market with ice plant, cold rooms at Malindi landing site, nine ranger surveillance posts, and refurbished MBEF administration building","13","","operational fisheries infrastructures","output","Intermediate results indicator monitoring; ICR author's site visits","2","infrastructure deliverable - check result_level is output"
"244","P009","","","Tumbe fish market, Pemba, Zanzibar, Tanzania","Tanzania","agri-food","Fish market cold chain; local ice availability","Rehabilitation of the Tumbe fish market with supply of ice igloos and installation of an ice plant","Before the project, ice purchased from Mombasa, Kenya cost fish traders up to US$2.26/kg and required an average of four travel hours","producer","Ice became available locally, costing only US$0.4368/kg versus up to US$2.26/kg previously, saving an average of four travel hours and increasing fish traders' profits","0.4368","","US$ per kg of ice (down from US$2.26/kg)","outcome","Case-study estimate reported in the borrower's completion report; used in ICR efficiency analysis","2",""
"245","P009","","","Zanzibar Marine Conservation Areas and coastal villages, Tanzania","Tanzania","farming system-fish","Octopus fishery; seasonal closures","Enforcement of seasonal octopus closures by Village Fisheries Committees, with training on octopus seasonal closures, a practice later replicated to MCAs in Pemba given the successful results","Value chain study recommendation to ensure sustainable octopus harvesting","community","Octopus production increased from 536.6 kg worth US$1,866.4 annually before the project to 3.15 tons worth US$10,956.5 after the three-month closures in February 2022, directly benefiting 14,773 village members","14773","","village members directly benefiting from increased octopus production","outcome","Borrower completion report; published TAFIRI research paper","2",""
"246","P009","","","Unguja and Pemba coastal areas, Zanzibar, Tanzania","Tanzania","farming system-fish","Sea cucumber production and export","Training of 600 coastal groups in Unguja and Pemba on sea cucumber production and construction of sea cucumber pens (breeding facilities) in coastal areas in Pemba","Value chain study recommendation to increase sea cucumber production","community","Sea cucumber harvest and export increased from 5.53 tons worth US$240,434.78 in 2020 to 12.69 tons worth US$551,739.13 in 2021, directly benefiting 552 community members; 600 coastal groups trained","552","","community members directly benefiting","outcome","Borrower completion report figures on harvest and export values","2",""
"247","P009","","","77 villages (49 in Unguja, 28 in Pemba), Zanzibar, Tanzania","Tanzania","farming system-fish","Mariculture (seaweed) value chain","Supply of 500 simple hand-pulled seaweed barges (carrying up to 500 kg per trip) to seaweed farmers and training of 327 seaweed farmers on seaweed soap, juice, and powder production","Value chain study recommendation to scale up seaweed harvesting and support the seaweed value chain from production to sales instead of selling raw","smallholder farmer","500 seaweed barges supplied to farmers in 77 villages; 327 farmers trained; higher-value seaweed soap, juice, and powder now produced in Zanzibar; increased income from more competitive selling conditions","500","","seaweed barges supplied","outcome","Intermediate results indicator monitoring; March 2022 Aide Memoire; informal interviews with seaweed farmers","2",""
"248","P009","","","Mainland Tanzania (including Kunduchi)","Tanzania","agri-food","Priority fish value chains: mariculture (seaweed), small pelagics (sardines), octopus, prawns, reef fish, tuna","Implementation of value chain study recommendations: development of dried seaweed and powdered sardine quality standards and construction of the TAFIRI wet laboratory to understand product biological and chemical composition for export","Recommendations to improve seaweed processing instead of selling raw, establish quality standards to facilitate export","producer","Seven priority fisheries value chains enhanced (target 3): dried seaweed qualification standards and powdered sardine export standards developed; new TAFIRI wet lab constructed in Kunduchi","7","","value chain study recommendations implemented","output","Intermediate results indicator monitoring; value chain studies","2",""
"249","P009","","","Changwahela, Dunda, Kaole, Kisutu, Pande, and Saadani villages, Bagamoyo District, Mainland Tanzania","Tanzania","farming system-fish","Community co-management co-benefits; coastal environment","Local awareness campaigns financed by the project and revenue generated by BMUs used to conduct routine beach cleaning and patrols","BMU revenue retention intended to finance community work plans, including littering prevention in collaborative fisheries management areas","community","Routine cleaning and patrols reportedly resulted in cleaner beaches, especially in Changwahela, Dunda, Kaole, Kisutu, Pande, and Saadani villages in Bagamoyo District","","","","outcome","Reported unintended outcome; not quantified","2",""
"250","P009","","","Mainland Tanzania","Tanzania","farming system-fish","Overall fisheries management, licensing, and enforcement benefits","Combined project interventions: vessel registration and licensing, co-management, enforcement against illegal fishing, value chain and infrastructure support","Improved resource assessment and access rules expected to halt over-exploitation and improve incomes and government revenue","artisanal fisher","Pre/post-project changes in Mainland Tanzania: vessel registration +124 percent, fish catch +94 percent, revenue from illegal fishing fines +327 percent, fisher licenses +84 percent, fish traders +24 percent, fish sales points +75 percent, blast fishing -99.88 percent","94","","percent increase in fish catch (pre- vs post-project)","outcome","Before-after comparison of selected metrics (ICR efficiency analysis)","2",""
"251","P009","","","Tanzania (DSFA, national research and academic institutions)","Tanzania","farming system-fish","Fisheries science and technology research; institutional strengthening","DSFA Research Facility Support Grants program for fisheries science and technology projects of young researchers and junior scientists; support to bachelor's, master's, and doctorate students; development of a tuna economic profile and EEZ fishing license system review","Weak human capacity and low capability for applied fisheries research constrained the sector","youth","US$50,000 provided to 13 fisheries science and technology projects; six bachelor's, seven master's, and one doctorate students supported, graduating in 2021 and joining MLF as skilled staff","13","","fisheries research projects funded","output","Project institutional strengthening reporting","2",""
"252","P010","","","Malawi, Mozambique, Zambia (SADC region)","Malawi; Mozambique; Zambia","farming system-crop","maize, rice, and legumes priority farming systems of regional importance","Collaborative research and development sub-projects under Regional Centers of Leadership financing technology generation and dissemination: germplasm improvement (plant breeding), crop management, post-harvest activities including processing and storage","To increase the availability of improved agricultural technologies in participating countries in the SADC Region","producer","Directly generated and promoted 301 improved agricultural technologies: 177 improved seed varieties, 43 improved agronomic, pest and water management practices, 81 post-harvest technologies; far exceeds original target of 93","301","","improved agricultural technologies generated and promoted","output","Project M&E / ICR results framework","2",""
"253","P010","","","Malawi, Mozambique, Zambia (cross-border technology sharing)","Malawi; Mozambique; Zambia","farming system-crop","improved legume, maize and rice seed varieties, agronomic practices and post-harvest technologies","Regional dissemination of technologies within and across participating countries through collaborative sub-project research design and regional exchange of improved technologies and seeds","Help the region address shared problems with shared solutions, reduce duplications, facilitate technology exchange and boost agricultural productivity","producer","83 technologies generated or promoted in one participating country were released in another (results framework reports 80), exceeding target of 50; legumes 32, maize 21, rice 9, agronomic practices 8, post-harvest 13","83","","technologies released in another participating country","output","Project M&E / ICR results framework","2","activity deliverable - check result_level is process or output"
"254","P010","","","Malawi, Mozambique, Zambia (program-wide)","Malawi; Mozambique; Zambia","farming system-crop","improved agricultural technologies for maize, rice and legumes","Technology dissemination through field demonstrations, field days, trainings, extension officers, digital extension and ICT, food and seed fairs, agricultural shows, radio, print and video formats","Ultimately it is the access to these technologies to farmers that matter in increasing agricultural production","household","Total direct beneficiaries reached 4.6 million (4,612,946), 75 percent of original target of 6.1 million; of which 40,472 lead farmers; female beneficiaries 49, 30 and 37 percent in Malawi, Mozambique, Zambia respectively","4612946","","direct project beneficiaries","output","Project M&E / ICR results framework","2",""
"255","P010","","","Malawi, Mozambique, Zambia (national research systems)","Malawi; Mozambique; Zambia","cross cutting","developing human capital in agricultural research; scientific training at post graduate level","Through scholarships the project funded students in agricultural sciences at graduate and undergraduate level; students required to return to their respective countries and positions upon completion","Such an investment will infuse a new caliber of young scientists in the research system of SADC; national systems constrained by shortages of qualified staff","","Sponsored 160 students for university training (PhD, MSc, BSc levels); 30 percent of PhD, 41 percent of MSc and 45 percent of BSc students were women","160","","students funded for university-level training","output","Project M&E / ICR results framework","2",""
"256","P010","","","Malawi, Mozambique, Zambia (3 RCoLs)","Malawi; Mozambique; Zambia","cross cutting","improving administration and performance management systems; capacity building","Short term training to build capacity addressing gaps in the 3 RCoLs: project management, financial management, gender mainstreaming, environmental and social standards, integrated crop management, IPM, statistical analysis","To strengthen institutional capacity of RCoL staff","","13,416 RCoL and extension staff trained (8,706 male, 4,710 female) in short-term thematic training; 9,498 client days of training provided against target of 6,500","13416","","RCoL and extension staff trained","output","Project output reporting (ICR Annex 6)","2",""
"257","P010","","","Malawi, Mozambique, Zambia (program-wide)","Malawi; Mozambique; Zambia","farming system-crop","seed production, integrated crop management, conservation agriculture, good agricultural practices","Training of farmers in demonstration plot layout, data collection, entrepreneurship, seed production and storage, plant genetic resource conservation, integrated crop management technologies, conservation agriculture and good agricultural practices","Improvements in farmer-research-extension feedback mechanisms and capacity building for technology dissemination","smallholder farmer","368,288 farmers trained (181,977 male, 186,038 female) across thematic areas","368288","","farmers trained","output","Project output reporting (ICR Annex 6)","2",""
"258","P010","","","Malawi, Mozambique, Zambia (national research centers)","Malawi; Mozambique; Zambia","cross cutting","upgrading of research infrastructure, including rehabilitation and construction of physical infrastructure","Rehabilitation and equipping of research facilities and stations, laboratories, and construction of new research centers, including soil laboratories of the RCoL","National systems constrained by inadequate and aging infrastructure including research and testing facilities","","24 research centers rehabilitated or equipped against target of 27; number underestimates total rehabilitations as project significantly invested in equipping laboratories and building irrigation systems within centers","24","","research centers rehabilitated or equipped","output","Project M&E / ICR results framework","2","infrastructure deliverable - check result_level is output"
"259","P010","","","Malawi, Mozambique, Zambia (national seed policy)","Malawi; Mozambique; Zambia","cross cutting","seed regulatory functions; policy harmonization in key areas that affect R&D","Facilitating policy harmonization activities; harmonizing national seed regulation with SADC Regional Policy on Harmonization in the seed sector","Will help speed up technology release and sharing in the region, improving spillover in technology adoption within the region","","All three countries harmonized national seed regulation with SADC Regional Policy; Mozambique and Zambia's approved by parliament, Malawi's rectified and awaiting parliamentary approval","3","","countries with revised seed policy compliant with SADC harmonization framework","outcome","Project M&E / ICR results framework","2","activity deliverable - check result_level is process or output"
"260","P010","","","Malawi, Mozambique, Zambia (FAW-affected maize areas)","Malawi; Mozambique; Zambia","farming system-crop","pest management; FAW is highly destructive to maize, the staple crop in the three countries","Emergency Fall Army Worm response: quickly mobilized resources, identified appropriate pest management, tested pesticide suitability using farmers knowledge; initiated research on improved varietal, bio-fortification and biological control of FAW","APPSA responded to an unexpected outbreak of FAW across Malawi, Mozambique and Zambia during the 2016/17 cropping season","smallholder farmer","All three countries created a FAW taskforce and trained extension officers and farmers; regional capacity and coordination for FAW response enhanced","","","","output","ICR narrative / project reporting","2",""
"261","P010","","","Malawi, Mozambique, Zambia (APPSA sub-project areas)","Malawi; Mozambique; Zambia","farming system-crop","use of improved varieties by APPSA farmers","Participation in APPSA sub-projects promoting improved varieties and agronomic practices","Increased availability of improved technologies seen as the critical pathway to improving agricultural productivity and food security of the region","smallholder farmer","Of 581 surveyed farmers, 80 percent reported improved productivity in crops, 67 percent improved farm income, 50 percent increased changes in farm expenditure, 74 percent better researcher and extension technical advice","80","","percent of surveyed farmers reporting improved crop productivity","outcome","End-line survey, Joint Impact Evaluation (Bt-Associates 2020)","2",""
"262","P010","","","Malawi (RCoL at Chitedze Agricultural Research Station)","Malawi","farming system-crop","maize-based farming systems; Malawi RCoL specialized in maize","Collaborative R&D sub-projects for technology generation and dissemination under the Malawi maize RCoL; released 27 technologies including 13 maize hybrids, 6 bean varieties, 2 rice varieties, 6 agronomic practices","To increase the availability of improved agricultural technologies in participating countries in the SADC Region","producer","95 improved technologies available to farmers and other end users: 83 improved seed varieties (32 maize, 5 rice, 44 legumes, 2 sorghum), 8 improved management practices, 4 post-harvest technologies","95","","improved technologies available to farmers and other end users","output","Project M&E / ICR Annex 6 disaggregated results","2",""
"263","P010","","","Malawi (national)","Malawi","farming system-crop","improved agricultural technologies for maize-based farming systems","Technology dissemination through field demonstrations, field days, trainings, extension and ICT, fairs, agricultural shows, radio, print and video","Access to these technologies to farmers is what matters in increasing agricultural production","household","Direct beneficiaries in Malawi 2,338,654, of which 18,208 lead farmers; 49 percent female; Malawi alone contributed 50 percent of total program beneficiaries reached","2338654","","direct project beneficiaries","output","Project M&E / ICR Annex 6 disaggregated results","2",""
"264","P010","","","Malawi (targeted areas)","Malawi","farming system-crop","awareness of improved technologies promoted by the project","Dissemination activities creating awareness: field demonstrations, field days and trainings where researchers, lead farmers and smallholder farmers participated; digital extension, food and seed fairs, agricultural shows, radio, print and video","Creating awareness about improved technologies among farmers","smallholder farmer","Malawi achieved 95 percent on lead farmers in targeted areas aware of an improved technology promoted by the project (target 85 percent)","95","","percent lead farmers aware of an improved technology","outcome","Surveys of lead farmers during field days (project M&E)","2",""
"265","P010","","","Malawi (national)","Malawi","farming system-crop","adoption of APPSA improved seeds (maize, common bean, rice)","Dissemination and promotion of APPSA improved seed varieties; improved varieties noted as high yielding with drought tolerance for maize","Increased availability of improved technologies as the pathway to improving agricultural productivity and food security","smallholder farmer","Adoption rates of APPSA improved seeds in Malawi: maize 34 percent, common bean 11 percent, rice 15 percent; end-line survey indicates 36 percent of surveyed APPSA beneficiaries can find improved seeds","34","","percent adoption rate of APPSA improved maize seed","outcome","Technology adoption assessment 2018 (N=938) and agro-dealer survey 2019; end-line survey","2",""
"266","P010","","","Malawi (technologies shared regionally)","Malawi","farming system-crop","improved seed varieties shared across participating countries","Technologies generated or promoted by the project in Malawi released or promoted in another participating country","Regional exchange of improved technologies and seeds across the three participating countries","producer","30 technologies generated or promoted in Malawi released or promoted in another country, including 30 improved seed varieties (16 maize, 4 rice, 10 legumes); Malawi shared the most improved seed varieties","30","","technologies released or promoted in another participating country","output","Project M&E / ICR Annex 6 disaggregated results","2","activity deliverable - check result_level is process or output"
"267","P010","","","Malawi (national research system)","Malawi","cross cutting","developing human capital; long term university training","Scholarships for long-term university training of agricultural scientists at PhD, MSc and BSc levels","To strengthen the human research infrastructure of the research centers","","Long-term university training in Malawi: 11 PhD, 13 MSc, 9 BSc; total 33 students (20 male, 13 female)","33","","students trained (long-term university training)","output","Project output reporting (ICR Annex 6)","2",""
"268","P010","","","Malawi (dissemination areas)","Malawi","farming system-crop","dissemination pathways: demonstrations, field days, TV documentaries, radio programs","Dissemination pathway activities: field demonstrations, field days, TV documentaries and radio programs","To increase the awareness and the reach of improved technologies to farmers","smallholder farmer","597 demonstrations, 1,437 field days, 42 TV documentaries, 36 radio programs; cumulative 193,015 farmers attended field days and other events, of which 98,176 female","193015","","farmers attending field days and other dissemination events","output","Project output reporting (ICR Annex 6)","2",""
"269","P010","","","Malawi (rice growing areas, incl. Mulanje district)","Malawi","farming system-crop","Nerica 3 and Nerica 4 upland rice varieties including packaging of related agronomic practices","Nerica Upland Rice sub-project under leadership of Mozambique RCoL: field demonstrations, seed multiplication trainings, training of lead farmers, field days, print media, radio and TV including DVD aired on Malawi Broadcasting Corporation","APPSA identified rice varieties developed by NARS and idling on the shelf to take to farmers; contributed to increased food security and incomes among rural communities","smallholder farmer","Trained 200 lead farmers who trained and supported 18,230 follower farmers; 524 field days conducted (target 600) and 12,342 farmers reached (7,391 men, 4,951 women); 3,200 farmers expressed interest to grow the varieties","18230","","follower farmers trained by lead farmers","output","Project reporting (Msatotimolo, H. 2020, APPSA Project Report)","2",""
"270","P010","","","Malawi (seed sector)","Malawi","farming system-crop","seed multiplication of vitamin A rich maize variety","Partnerships with private companies on seed multiplication; engaged Harvest Plus to facilitate multiplication of early generation seed; engaged Plant Vehicle Hire, Lilongwe Technical College and Zenengeya Engineering on On-Spot Fertilizer Applicator modification","Seed availability for newly released maize varieties is a challenge in the three countries","agribusiness","Seven companies in Malawi have collected parental lines for seed multiplication of vitamin A rich maize variety","7","","companies collecting parental lines for seed multiplication","output","ICR narrative / project reporting","2","activity deliverable - check result_level is process or output"
"271","P010","","","Bvumbwe Research Station, Malawi","Malawi","cross cutting","upgrading of research infrastructure","Construction and rehabilitation of physical research infrastructure at Bvumbwe research facility","National systems constrained by inadequate and aging infrastructure including research and testing facilities","","Constructed administration office and warehouse; rehabilitated 5 laboratories (soil chemistry, soil physics, seed, plant pathology and nematology), library and conference room; rehabilitated 5 km gravel road - completed","5","","laboratories rehabilitated","output","Project output reporting (ICR Annex 6)","2","infrastructure deliverable - check result_level is output"
"272","P010","","","Kasinthula Research Station, Malawi","Malawi","cross cutting","upgrading of research infrastructure including irrigation","Construction and rehabilitation of physical research infrastructure at Kasinthula research facility","National systems constrained by inadequate and aging infrastructure including research and testing facilities","","Constructed new administration office, conference room and library; rehabilitated offices, gravel road into station, and irrigation infrastructure (fallow and sprinkler systems) - completed","","","","output","Project output reporting (ICR Annex 6)","2",""
"273","P010","","","Chitedze Agricultural Research Station, Malawi","Malawi","farming system-crop","Regional Centre of Leadership for Maize and maize based Research","Rehabilitation of the Regional Centre of Leadership for Maize; construction of laboratory complex housing plant pathology, biotechnology, tissue culture and food science; road network rehabilitation","Strengthen the core capacity of the RCoL, including upgrading of research infrastructure","","Rehabilitated Regional Centre of Leadership for Maize research; constructed laboratory complex; rehabilitated 11.5 km road network - completed; conference center not yet operational at project close","11.5","","km road network rehabilitated","output","Project output reporting (ICR Annex 6)","2","infrastructure deliverable - check result_level is output"
"274","P010","","","Salima, Malawi","Malawi","agri-food","post-harvest technology (solar drying)","Installation of solar drying equipment at Salima","Post-harvest activities, including processing and storage, seen as critical for increasing agricultural productivity","","Installation of solar drying equipment at Salima - completed","","","","output","Project output reporting (ICR Annex 6)","2",""
"275","P010","","","Mozambique (RCoL under IIAM)","Mozambique","farming system-crop","rice-based farming systems; Mozambique RCoL specialized in rice","Collaborative R&D sub-projects for technology generation and dissemination under the Mozambique rice RCoL; 17 varieties released (2 rice, 3 groundnuts, 3 sorghum, 5 soybeans, 4 maize), 28 technologies generated, 37 disseminated","To increase the availability of improved agricultural technologies in participating countries in the SADC Region","producer","115 improved technologies available to farmers and other end users: 51 improved seed varieties (12 maize, 10 rice, 23 legumes, 6 cassava), 19 improved management practices, 45 post-harvest/labor-saving/processing technologies","115","","improved technologies available to farmers and other end users","output","Project M&E / ICR Annex 6 disaggregated results","2",""
"276","P010","","","Mozambique (national)","Mozambique","farming system-crop","improved agricultural technologies for rice-based farming systems","Technology dissemination through field demonstrations, field days, trainings, extension and ICT, fairs, radio and print","Access to these technologies to farmers is what matters in increasing agricultural production","household","Direct beneficiaries in Mozambique 1,000,000, of which 10,600 lead farmers and 200,000 other farmers; 30 percent female","1000000","","direct project beneficiaries","output","Project M&E / ICR Annex 6 disaggregated results","2",""
"277","P010","","","Mozambique (targeted areas)","Mozambique","farming system-crop","awareness of improved technologies promoted by the project","Dissemination activities creating awareness: field demonstrations, field days and trainings with researchers, lead farmers and smallholder farmers; extension officers, ICT, fairs, agricultural shows, radio, print and video","Creating awareness about improved technologies among farmers","smallholder farmer","Mozambique achieved 80 percent on lead farmers in targeted areas aware of an improved technology promoted by the project (target 85 percent)","80","","percent lead farmers aware of an improved technology","outcome","Surveys of lead farmers during field days (project M&E)","2",""
"278","P010","","","Mozambique (national)","Mozambique","farming system-crop","adoption of APPSA improved seeds (rice, common bean, maize)","Dissemination and promotion of APPSA improved seed varieties; APPSA varieties among top 3 varieties stocked by surveyed agro-dealers","Increased availability of improved technologies as the pathway to improving agricultural productivity and food security","smallholder farmer","Very high adoption rates in Mozambique: rice 90 percent, common bean 86 percent, maize 20 percent; 64 percent of surveyed APPSA beneficiaries can find improved seeds","90","","percent adoption rate of APPSA improved rice seed","outcome","Technology adoption assessment 2018 (N=595); agro-dealer survey; end-line survey","2",""
"279","P010","","","Mozambique (technologies shared regionally)","Mozambique","farming system-crop","post-harvest, labor saving and processing technologies; improved seed varieties","Technologies generated or promoted by the project in Mozambique released or promoted in another participating country","Regional exchange of improved technologies and seeds across the three participating countries","producer","28 technologies generated or promoted in Mozambique released or promoted in another country: 10 improved seed varieties, 7 management practices, 11 post-harvest technologies; Mozambique shared the most (97 percent) of post-harvest technologies","28","","technologies released or promoted in another participating country","output","Project M&E / ICR Annex 6 disaggregated results","2",""
"280","P010","","","Mozambique (national research system)","Mozambique","cross cutting","developing human capital; long term university training","Scholarships for long-term university training of agricultural scientists at PhD, MSc and BSc levels","To strengthen the human research infrastructure of the research centers","","Long-term university training in Mozambique: 8 PhD, 13 MSc, 9 BSc; total 30 students (19 male, 10 female)","30","","students trained (long-term university training)","output","Project output reporting (ICR Annex 6)","2",""
"281","P010","","","Mozambique (dissemination areas)","Mozambique","farming system-crop","dissemination pathways: demonstrations, field days, fairs, radio, IEC material","Dissemination pathway activities: field demonstrations, field days, fair, radio programs and IEC materials","To increase the awareness and the reach of improved technologies to farmers","smallholder farmer","249 demonstrations, 198 field days, 1 fair, 5 radio programs, 26 IEC materials; cumulative 13,682 farmers attended field days and other events, of which 5,473 female","13682","","farmers attending field days and other dissemination events","output","Project output reporting (ICR Annex 6)","2",""
"282","P010","","","Namacurra District, Zambezia Province, Mozambique","Mozambique","farming system-crop","Regional Center for Rice Leadership and Research","IIAM built a new Regional Center for Rice Leadership and Research on 43.3 hectares of acquired land, including construction of infrastructure and an irrigation system, seed warehouse, bio-technology lab, entomology lab, administrative block and seed lab","Strengthen the core capacity of the RCoL; regional specialization around priority farming systems","","New rice research center constructed at Namacurra (completed); 116 affected producers compensated a total of MT 2,786,500 and received business training; new irrigation center not yet operational at project close","1","","regional rice research center constructed","output","ICR safeguards reporting and Annex 6 output reporting","2",""
"283","P010","","","Sussundenga Research Station, Mozambique","Mozambique","cross cutting","rehabilitating research stations","Rehabilitation of physical research infrastructure at Sussundenga","National systems constrained by inadequate and aging infrastructure including research and testing facilities","","Rehabilitated 7 houses, 4 outbuildings, 2 warehouses, 2 office buildings at Sussundenga - completed","15","","buildings rehabilitated","output","Project output reporting (ICR Annex 6)","2","infrastructure deliverable - check result_level is output"
"284","P010","","","Nametil, Mozambique","Mozambique","cross cutting","rehabilitating research stations","Rehabilitation of physical research infrastructure at Nametil","National systems constrained by inadequate and aging infrastructure","","Rehabilitated 1 house at Nametil - completed","1","","house rehabilitated","output","Project output reporting (ICR Annex 6)","2","infrastructure deliverable - check result_level is output"
"285","P010","","","Nampula Research Station, Mozambique","Mozambique","cross cutting","rehabilitating research stations, upgrading laboratories and offices","Rehabilitation of physical research infrastructure at Nampula","National systems constrained by inadequate and aging infrastructure","","Rehabilitated 1 administrative block and 1 entomology laboratory at Nampula - completed","2","","facilities rehabilitated","output","Project output reporting (ICR Annex 6)","2","infrastructure deliverable - check result_level is output"
"286","P010","","","Chokwe Research Station, Mozambique","Mozambique","cross cutting","rehabilitating research stations, upgrading laboratories, irrigation construction","Rehabilitation of physical research infrastructure and irrigation system at Chokwe","National systems constrained by inadequate and aging infrastructure","","Rehabilitated 1 office, 1 warehouse, 1 threshing-floor, 1 entomology laboratory at Chokwe; irrigation system rehabilitated - completed","4","","facilities rehabilitated (plus 1 irrigation system)","output","Project output reporting (ICR Annex 6)","2","infrastructure deliverable - check result_level is output"
"287","P010","","","Umbeluzi Agrarian Station, Mozambique","Mozambique","cross cutting","rehabilitating research stations, field stations, irrigation construction","Rehabilitation of physical research infrastructure and irrigation system at Umbeluzi","National systems constrained by inadequate and aging infrastructure","","Rehabilitated 1 main building and 1 dormitory for students and trainees at Umbeluzi; irrigation system rehabilitated - completed","2","","buildings rehabilitated (plus 1 irrigation system)","output","Project output reporting (ICR Annex 6)","2",""
"288","P010","","","Umbeluzi Agrarian Station, Mozambique","Mozambique","agri-food","value addition initiatives, including legumes and rice products","The Umbeluzi Agrarian Station involved women's groups and women-led associations in value addition initiatives, including legumes and rice products; gender-sensitive training programs to improve business management and marketing skills","The project reached a significant number of women as direct program beneficiaries and through capacity training","women's group/organization","Women's groups and women-led associations involved in value addition initiatives, including legumes and rice products","","","","output","ICR narrative / project reporting","2",""
"289","P010","","","Ribaue, Mozambique","Mozambique","cross cutting","irrigation construction at research stations","Rehabilitation of irrigation system at Ribaue (one of three irrigation systems rehabilitated in Chokwe, Umbeluzi and Ribaue)","National systems constrained by inadequate and aging infrastructure","","Irrigation system rehabilitated at Ribaue - completed","1","","irrigation system rehabilitated","output","Project output reporting (ICR Annex 6)","2","infrastructure deliverable - check result_level is output"
"290","P010","","","Zambia (RCoL under Zambia Agricultural Research Institute, ZARI)","Zambia","farming system-crop","food legumes based farming systems; Zambia RCoL specialized in legumes","Collaborative R&D under Zambia legumes RCoL: implemented 69 R&D sub-projects (led 31, collaborated in 38, 2 special projects); generated 22 crop varieties (14 food legume, 3 rice, 5 maize); disseminated 91 improved technologies","To increase the availability of improved agricultural technologies in participating countries in the SADC Region","producer","91 improved technologies available to farmers and other end users: 43 improved seed varieties (10 maize, 6 rice, 23 legumes, 4 sorghum), 16 improved management practices, 32 post-harvest technologies; 18 varieties evaluated and released by SCCI","91","","improved technologies available to farmers and other end users","output","Project M&E / ICR Annex 6 disaggregated results","2",""
"291","P010","","","Zambia (national)","Zambia","farming system-crop","improved agricultural technologies for food legumes based farming systems","Technology dissemination through field demonstrations, field days, trainings, extension and ICT, fairs, agricultural shows, radio, print and video","Access to these technologies to farmers is what matters in increasing agricultural production","household","Direct beneficiaries in Zambia 1,274,292, of which 11,664 lead farmers and 1,262,268 other farmers; 37 percent female","1274292","","direct project beneficiaries","output","Project M&E / ICR Annex 6 disaggregated results","2",""
"292","P010","","","Zambia (targeted areas)","Zambia","farming system-crop","awareness of improved technologies promoted by the project","Dissemination activities creating awareness: field demonstrations, field days and trainings with researchers, lead farmers and smallholder farmers; extension officers, ICT, food and seed fairs, agricultural shows, radio, print and video","Creating awareness about improved technologies among farmers","smallholder farmer","Zambia achieved 110 percent of the target (85 percent) on lead farmers in targeted areas aware of an improved technology promoted by the project","110","","percent achievement on lead farmers aware of an improved technology","outcome","Surveys of lead farmers during field days (project M&E)","2",""
"293","P010","","","Zambia (national)","Zambia","farming system-crop","adoption of APPSA improved seeds (common bean, rice, maize, soya bean)","Dissemination and promotion of APPSA improved seed varieties; most popular varieties sold are orange maize varieties and Nerica (1 and 4) rice varieties","Increased availability of improved technologies as the pathway to improving agricultural productivity and food security","smallholder farmer","Adoption rates in Zambia: common bean 71.9 percent, rice 37.2 percent, maize 27 percent, soya bean 5.3 percent; 22 percent of surveyed beneficiaries can find improved seeds; 72 percent of surveyed agro-dealers will continue to stock APPSA varieties","71.9","","percent adoption rate of APPSA improved common bean seed","outcome","Technology adoption assessment 2018 (N=1,944); agro-dealer survey of 197 agro-dealers (2019)","2",""
"294","P010","","","Zambia (APPSA farmer areas)","Zambia","farming system-crop","maize, rice, common bean and soybean yield","Combination of both good varieties and agronomic practices delivered to APPSA farmers","Concerted efforts of combination of both good varieties and agronomic practices","smallholder farmer","APPSA farmers had better yields than non-APPSA farmers (2017/2018 season): maize 2.8 vs 1.56 t/ha; rice 3.1 vs 1.3 t/ha; common beans 0.93 vs 0.54 t/ha; soybean 2.35 vs 1.45 t/ha","2.8","","t/ha average maize yield of APPSA farmers (vs 1.56 t/ha non-APPSA)","outcome","Comparative production and productivity analysis of APPSA vs non-APPSA farmers, 2017/2018 season","2",""
